2024-05-02 09:57:45.733195 - securitiesToTrade --> [(8, '869808'), (8, '870766'), (2, '36610'), (2, '36622'), (2, '36752'), (2, '36801'), (2, '43771'), (2, '43797'), (2, '41302'), (2, '41312'), (8, '869576'), (8, '869631')]

2024-05-02 10:15:29.989387 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '448.80', 'LTT': '10:15:30'}

2024-05-02 10:15:30.188227 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '108.55', 'LTT': '10:15:30'}

2024-05-02 10:15:30.322569 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '290.55', 'LTT': '10:15:30'}

2024-05-02 10:15:30.672642 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '495.15', 'LTT': '10:15:30'}

2024-05-02 10:15:30.848276 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.70', 'LTT': '10:15:31'}

2024-05-02 10:15:30.864003 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '364.65', 'LTT': '10:15:30'}

2024-05-02 10:15:30.898178 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '411.75', 'LTT': '10:15:31'}

2024-05-02 10:15:30.989254 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.85', 'LTT': '10:15:30'}

2024-05-02 10:15:31.040070 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '450.10', 'LTT': '10:15:31'}

2024-05-02 10:15:31.197628 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '107.85', 'LTT': '10:15:31'}

2024-05-02 10:15:31.363989 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '291.00', 'LTT': '10:15:31'}

2024-05-02 10:15:31.625918 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '291.00', 'LTT': '10:15:31'}

2024-05-02 10:15:31.641909 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '495.90', 'LTT': '10:15:31'}

2024-05-02 10:15:31.864806 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.50', 'LTT': '10:15:32'}

2024-05-02 10:15:31.904284 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '411.65', 'LTT': '10:15:32'}

2024-05-02 10:15:31.947511 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '363.95', 'LTT': '10:15:31'}

2024-05-02 10:15:31.989796 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '168.00', 'LTT': '10:15:31'}

2024-05-02 10:15:32.206091 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '108.30', 'LTT': '10:15:32'}

2024-05-02 10:15:32.353871 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '448.35', 'LTT': '10:15:32'}

2024-05-02 10:15:32.406676 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '291.60', 'LTT': '10:15:32'}

2024-05-02 10:15:32.631495 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '494.15', 'LTT': '10:15:32'}

2024-05-02 10:15:32.815029 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '68.90', 'LTT': '10:15:32'}

2024-05-02 10:15:32.832437 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '161.50', 'LTT': '10:15:32'}

2024-05-02 10:15:32.882522 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '58.35', 'LTT': '10:15:33'}

2024-05-02 10:15:32.903442 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '414.00', 'LTT': '10:15:33'}

2024-05-02 10:15:32.990574 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '359.40', 'LTT': '10:15:33'}

2024-05-02 10:15:32.998574 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '168.15', 'LTT': '10:15:32'}

2024-05-02 10:15:33.131787 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '448.35', 'LTT': '10:15:32'}

2024-05-02 10:15:33.196855 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '106.85', 'LTT': '10:15:33'}

2024-05-02 10:15:33.465079 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '294.65', 'LTT': '10:15:33'}

2024-05-02 10:15:33.642029 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '492.25', 'LTT': '10:15:33'}

2024-05-02 10:15:33.798659 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36610, 'LTP': '90.30', 'LTT': '10:15:33'}

2024-05-02 10:15:33.904514 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '414.25', 'LTT': '10:15:34'}

2024-05-02 10:15:33.995542 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '168.60', 'LTT': '10:15:33'}

2024-05-02 10:15:34.033782 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '69.50', 'LTT': '10:15:33'}

2024-05-02 10:15:34.074924 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '58.80', 'LTT': '10:15:34'}

2024-05-02 10:15:34.205258 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '445.00', 'LTT': '10:15:33'}

2024-05-02 10:15:34.493125 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '106.05', 'LTT': '10:15:34'}

2024-05-02 10:15:34.493125 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '160.65', 'LTT': '10:15:33'}

2024-05-02 10:15:34.518311 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '293.45', 'LTT': '10:15:34'}

2024-05-02 10:15:34.643263 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '492.20', 'LTT': '10:15:34'}

2024-05-02 10:15:34.801205 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '294.70', 'LTT': '10:15:34'}

2024-05-02 10:15:34.858179 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '58.60', 'LTT': '10:15:35'}

